codi_lloc;Wildfire;taxó;abun_long_1L;Time
POND_A;B;Gyraulus crista;0.005261312;1
POND_A;B;Gyraulus crista;0.005261312;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Gyraulus crista;0.002143497;1
POND_A;B;Proasellus coxalis;0.001753771;1
POND_A;B;Proasellus coxalis;0.001753771;1
POND_A;B;Proasellus coxalis;0.001753771;1
POND_A;B;Proasellus coxalis;0.001753771;1
POND_A;B;Proasellus coxalis;0.001753771;1
POND_A;B;Proasellus coxalis;0.001753771;1
POND_A;B;Piona sp.;0.001753771;1
POND_A;B;Tiphys sp.;0.001753771;1
POND_A;B;Aeshna sp.;0.001753771;1
POND_A;B;Aeshna sp.;0.001753771;1
POND_A;B;Aeshna sp.;0.001753771;1
POND_A;B;Aeshna sp.;0.001753771;1
POND_A;B;Lestes sp.;0.001753771;1
POND_A;B;Lestes sp.;0.001753771;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Sympetrum sp.;0.001972992;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
POND_A;B;Corixidae indet.;0.001753771;1
