Join_Count;codigo_def;UTM_x;UTM_y
no;AL1;509240.510407;4680793.651121
no;AL2;506568.110407;4680866.051121
no;AL3;509393.396309;4680870.516907
no;AL4;509486.874533;4681204.226234
no;AL5;509127.503282;4681276.392558
no;AL6;508703.310507;4681293.479622
no;AL7;508958.180419;4681420.798804
no;AL8;509059.164142;4681788.863088
no;AL9;508169.460407;4681966.001121
no;AL10;508993.872152;4682177.987673
no;AL11;506341.310407;4680391.151120
no;AL12;507942.210407;4681952.751121
no;AL13;506255.532944;4681050.597213
no;AL14;507589.310407;4682339.551121
no;AL15;507312.160407;4681773.801121
no;AL16;512890.260407;4690898.301122
no;AL17;506156.660407;4679589.651120
no;AL18;512648.960407;4690614.201122
no;AL19;507386.060407;4682325.301121
no;AL20;506683.110407;4682527.801121
no;AL21;508131.158325;4683707.686677
no;AL22;507512.610407;4683435.551121
no;AL23;508368.913288;4680429.223511
no;AL24;503876.210407;4678529.901120
no;AL25;512092.210407;4690173.051122
no;AL26;512036.810407;4690184.051122
no;AL27;503719.860407;4680712.901121
no;AL28;510233.810407;4681834.851121
no;AL29;506277.960407;4678891.751120
no;AL30;503914.660407;4681548.551121
no;AL31;511791.610407;4689733.351122
no;AL32;507733.746632;4684542.241178
no;AL33;501477.160407;4681148.701121
no;AL34;512008.810407;4689761.951122
no;AL35;504903.670475;4681153.614326
no;AL36;499532.210407;4679866.301120
no;AL37;511417.360407;4689641.851122
no;AL38;505124.960407;4680939.801121
no;AL39;499469.710407;4679886.401120
no;AL40;499058.660407;4680200.901120
no;AL41;508019.306893;4685027.989962
no;AL42;498931.160407;4680459.151120
no;AL43;498598.260407;4680709.451121
no;AL44;498959.910407;4680384.151120
no;AL45;499156.160407;4681066.251121
no;AL46;498561.460407;4680844.651121
no;AL47;507978.483914;4685061.725940
no;AL48;498513.560407;4679718.001120
no;AL49;499063.210407;4681070.301121
no;AL50;507210.860407;4685143.951121
no;AL51;507450.660407;4685194.751121
no;AL52;498565.660407;4680897.851121
no;AL53;499146.860407;4681141.751121
no;AL54;498636.110407;4680837.301121
no;AL55;498696.910407;4680731.901121
no;AL56;498584.160407;4680945.851121
no;AL57;507872.964033;4685213.780664
no;AL58;498853.160407;4681355.751121
no;AL59;497725.410407;4680389.351120
no;AL60;498671.310407;4681777.101121
no;AL61;505927.500790;4683301.342596
no;AL62;501616.860407;4683476.251121
no;AL63;498205.810407;4682164.201121
no;AL64;507017.360407;4685518.801121
no;AL65;498338.210407;4681864.551121
no;AL66;502866.660407;4681648.351121
no;AL67;499684.360407;4685024.101121
no;AL68;499233.110407;4682835.301121
no;AL69;505443.960407;4684618.951121
no;AL70;506970.360407;4685560.801121
no;AL71;498354.060407;4681744.951121
no;AL72;504190.958097;4681839.362997
no;AL73;507084.360407;4685590.801121
no;AL74;498045.560407;4681919.951121
no;AL75;507040.360407;4685622.801121
no;AL76;498197.460407;4681802.951121
no;AL77;502643.160407;4681998.351121
no;AL78;497862.560407;4682046.001121
no;AL79;497716.660407;4679947.351120
no;AL80;497274.110407;4680543.301120
no;AL81;498331.310407;4683211.751121
no;AL82;497834.410407;4682169.001121
no;AL83;509659.660407;4684314.351121
no;AL84;498146.060407;4681929.951121
no;AL85;497497.810407;4682249.301121
no;AL86;504595.276590;4681921.043778
no;AL87;497592.310407;4684410.551121
no;AL88;497877.310407;4682303.251121
no;AL89;497372.460407;4682596.401121
no;AL90;508648.260407;4685029.951121
no;AL91;497656.560407;4682657.551121
no;AL92;497727.810407;4682666.301121
no;AL93;497194.660407;4682266.501121
no;AL94;497439.060407;4682753.551121
no;AL95;496581.110407;4683624.551121
no;AL96;497061.860407;4682326.051121
no;AL97;499472.260407;4686757.651121
no;AL98;499526.010407;4686680.151121
no;AL99;510401.560407;4683273.351121
no;AL100;501035.960407;4686600.501121
no;AL101;497003.110407;4682504.051121
no;AL102;510674.560407;4683249.851121
no;AL103;496776.010407;4680006.201120
no;AL104;496704.760407;4680007.951120
no;AL105;508373.316093;4685369.050319
no;AL106;497341.560407;4682893.801121
no;AL107;505022.960407;4682802.051121
no;AL108;496187.110407;4683259.801121
no;AL109;502734.035407;4683642.701121
no;AL110;511269.360407;4689612.101122
no;AL111;496668.510407;4679995.701120
no;AL112;496766.810407;4684235.851121
no;AL113;496744.860407;4683780.051121
no;AL114;496738.810407;4684230.101121
no;AL115;496229.110407;4682362.301121
no;AL116;496700.810407;4684276.351121
no;AL117;501497.460407;4684440.501121
no;AL118;497973.360407;4686309.201121
no;AL119;509363.860407;4684871.701121
no;AL120;501576.710407;4684523.501121
no;AL121;503845.510407;4687110.101121
no;AL122;500936.910407;4683901.951121
no;AL123;511317.210407;4690419.001122
no;AL124;495771.860408;4685802.451121
no;AL125;507764.610407;4685903.451121
no;AL126;501251.260407;4688213.201122
no;AL127;498850.160407;4687347.701121
no;AL128;509242.010407;4684943.801121
no;AL129;494811.710408;4684194.201121
no;AL130;503716.760407;4683493.301121
no;AL131;501406.260407;4688543.201122
no;AL132;503672.910407;4683574.401121
no;AL133;496089.160407;4687558.101121
no;AL134;511579.710407;4682932.801121
no;AL135;495357.110408;4685167.751121
no;AL136;501363.260407;4688759.201122
no;AL137;501800.110407;4684571.851121
no;AL138;503547.260407;4688017.101122
no;AL139;501376.260407;4688789.701122
no;AL140;494231.860408;4686131.801121
no;AL141;504459.760407;4687916.751122
no;AL142;502809.810407;4684214.951121
no;AL143;495851.360408;4681026.301121
no;AL144;500516.910407;4687042.051121
no;AL145;494593.710408;4684059.201121
no;AL146;505168.961231;4683162.692160
no;AL147;501975.610407;4684513.351121
no;AL148;502372.610407;4684569.351121
no;AL149;503487.510407;4687276.601121
no;AL150;504564.660407;4688017.701122
no;AL151;504678.010407;4688020.151122
no;AL152;511674.360407;4683038.251121
no;AL153;493874.860408;4686315.301121
